Comment,Designator,Footprint,JLCPCB Part #,SMD Assembly
Kailh_socket_MX,"SW51,SW16,SW9,SW35,SW28,SW19,SW38,SW11,SW15,SW47,SW17,SW23,SW41,SW13,SW44,SW45,SW56,SW8,SW59,SW34,SW26,SW36,SW25,SW50,SW54,SW53,SW37,SW18,SW4,SW46,SW33,SW14,SW52,SW3,SW58,SW40,SW43,SW55,SW12,SW6,SW21,SW48,SW32,SW5,SW39,SW49,SW20,SW7,SW29,SW57,SW10,SW42,SW27,SW24,SW60,SW30,SW31,SW1,SW22,SW2",Kailh_socket_MX,C5156480,Yes
AP7361C-33E,U4,SOT-223-3_TabPin2,C500795,Yes
10k,"R11,R6,R16,R14,R20,R12,R18,R1,R19,R8,R13,R17,R15,R5,R7,R10,R9,R3,R4,R2",R_0805_2012Metric,C2930231,Yes
1N4148,"D8,D35,D56,D21,D9,D33,D57,D7,D34,D62,D36,D15,D11,D17,D29,D39,D49,D40,D63,D59,D24,D32,D12,D20,D42,D38,D46,D4,D45,D47,D28,D54,D61,D50,D58,D22,D66,D13,D68,D72,D41,D44,D69,D70,D65,D6,D10,D31,D67,D73,D3,D18,D16,D23,D2,D30,D25,D1,D60,D5,D26,D51,D27,D55,D71,D52,D64,D37,D43,D53,D14,D48,D19",D_SOD-523,C727112,Yes
74HC165 ,"U3,U2",SOIC-16_3.9x9.9mm_P1.27mm,C5613,Yes
CONN HEADER SMD 4POS 1.2MM,J2,CONN HEADER SMD 4POS 1.2MM,C588524,Yes
74HC164 ,U1,SOIC-14_3.9x8.7mm_P1.27mm,C5419,Yes
4.7uF,"C4,C5",C_0805_2012Metric,C98192,Yes
0.1uF,"C3,C2,C1",C_0805_2012Metric,C126469,Yes
CONN M.2 FMALE 67POS 0.020 GOLD,J3,M.2-CONNECTOR-E,C2977809,Yes
BOOT Switch,SW62,SW_PUSH_6mm,,No
RESET Switch,SW61,SW_PUSH_6mm,,No
Debug Breakout,J1,PinHeader_1x05_P2.54mm_Vertical,,No
Conn_02x20_Odd_Even,J4,Waveshare_ePaper_HAT_352,,No
M2.5 Standoff,J5,Micromod-Standoff,,No
