Designator,Val,Package,MidX,MidY,Rotation,Layer
C1,0.1uF,C_0805_2012Metric,-198.875,-117.79,90,bottom
C2,0.1uF,C_0805_2012Metric,-185.29982,-109.993151,180,bottom
C3,0.1uF,C_0805_2012Metric,-198.181646,-109.864912,180,bottom
C4,4.7uF,C_0805_2012Metric,-196.2,-62.8,90,bottom
C5,4.7uF,C_0805_2012Metric,-196.2,-67.4,90,bottom
D1,1N4148,D_SOD-523,-76.9,-118.3,90,bottom
D2,1N4148,D_SOD-523,-63.1,-58.15,90,bottom
D3,1N4148,D_SOD-523,-63.2,-77.1,90,bottom
D4,1N4148,D_SOD-523,-63.2,-96.2,90,bottom
D5,1N4148,D_SOD-523,-63.1,-115.2,90,bottom
D6,1N4148,D_SOD-523,-63.2,-134.2,90,bottom
D7,1N4148,D_SOD-523,-95.9,-118.3,90,bottom
D8,1N4148,D_SOD-523,-82.1,-58.1,90,bottom
D9,1N4148,D_SOD-523,-82.2,-77.1,90,bottom
D10,1N4148,D_SOD-523,-82.2,-96.1,90,bottom
D11,1N4148,D_SOD-523,-82.1,-115.1,90,bottom
D12,1N4148,D_SOD-523,-82.2,-134.2,90,bottom
D13,1N4148,D_SOD-523,-114.9,-118.3,90,bottom
D14,1N4148,D_SOD-523,-101.2,-58.2,90,bottom
D15,1N4148,D_SOD-523,-101.1,-77.1,90,bottom
D16,1N4148,D_SOD-523,-101.2,-96.2,90,bottom
D17,1N4148,D_SOD-523,-101.1,-115.1,90,bottom
D18,1N4148,D_SOD-523,-101.1,-134.1,90,bottom
D19,1N4148,D_SOD-523,-134,-118.3,90,bottom
D20,1N4148,D_SOD-523,-120.2,-58.1,90,bottom
D21,1N4148,D_SOD-523,-120.1,-96.2,90,bottom
D22,1N4148,D_SOD-523,-120.1,-115.1,90,bottom
D23,1N4148,D_SOD-523,-120.1,-134.1,90,bottom
D24,1N4148,D_SOD-523,-120.1,-77.1,90,bottom
D25,1N4148,D_SOD-523,-152.9,-118.3,90,bottom
D26,1N4148,D_SOD-523,-139.1,-58.1,90,bottom
D27,1N4148,D_SOD-523,-139.1,-77.1,90,bottom
D28,1N4148,D_SOD-523,-139.1,-96.1,90,bottom
D29,1N4148,D_SOD-523,-139.1,-115.1,90,bottom
D30,1N4148,D_SOD-523,-139.1,-134.1,90,bottom
D31,1N4148,D_SOD-523,-172,-118.3,90,bottom
D32,1N4148,D_SOD-523,-158.1,-58.1,90,bottom
D33,1N4148,D_SOD-523,-158.1,-77.1,90,bottom
D34,1N4148,D_SOD-523,-158.2,-96.2,90,bottom
D35,1N4148,D_SOD-523,-158.1,-115.1,90,bottom
D36,1N4148,D_SOD-523,-158.2,-131,90,bottom
D37,1N4148,D_SOD-523,-248.6,-118.3,90,bottom
D38,1N4148,D_SOD-523,-234.75,-58.1,90,bottom
D39,1N4148,D_SOD-523,-234.8,-77.2,90,bottom
D40,1N4148,D_SOD-523,-234.8,-96.1,90,bottom
D41,1N4148,D_SOD-523,-234.8,-115.2,90,bottom
D42,1N4148,D_SOD-523,-234.8,-134.1,90,bottom
D43,1N4148,D_SOD-523,-267.6,-118.3,90,bottom
D44,1N4148,D_SOD-523,-253.8,-58.1,90,bottom
D45,1N4148,D_SOD-523,-253.8,-77.2,90,bottom
D46,1N4148,D_SOD-523,-253.8,-96.1,90,bottom
D47,1N4148,D_SOD-523,-253.8,-115.1,90,bottom
D48,1N4148,D_SOD-523,-253.8,-134.2,90,bottom
D49,1N4148,D_SOD-523,-286.6,-118.3,90,bottom
D50,1N4148,D_SOD-523,-272.75,-58.1,90,bottom
D51,1N4148,D_SOD-523,-272.8,-77.2,90,bottom
D52,1N4148,D_SOD-523,-272.8,-96.1,90,bottom
D53,1N4148,D_SOD-523,-272.8,-115.1,90,bottom
D54,1N4148,D_SOD-523,-272.8,-134.1,90,bottom
D55,1N4148,D_SOD-523,-305.6,-118.3,90,bottom
D56,1N4148,D_SOD-523,-291.8,-58.1,90,bottom
D57,1N4148,D_SOD-523,-291.8,-77.175,90,bottom
D58,1N4148,D_SOD-523,-291.8,-96.1,90,bottom
D59,1N4148,D_SOD-523,-291.8,-115.1,90,bottom
D60,1N4148,D_SOD-523,-291.8,-131.4,90,bottom
D61,1N4148,D_SOD-523,-324.6,-118.3,90,bottom
D62,1N4148,D_SOD-523,-310.8,-58.15,90,bottom
D63,1N4148,D_SOD-523,-310.8,-77.15,90,bottom
D64,1N4148,D_SOD-523,-310.8,-96.1,90,bottom
D65,1N4148,D_SOD-523,-310.8,-115.1,90,bottom
D66,1N4148,D_SOD-523,-310.8,-134.2,90,bottom
D67,1N4148,D_SOD-523,-343.5,-118.3,90,bottom
D68,1N4148,D_SOD-523,-329.7,-58.1,90,bottom
D69,1N4148,D_SOD-523,-329.8,-77.1,90,bottom
D70,1N4148,D_SOD-523,-329.7,-96.1,90,bottom
D71,1N4148,D_SOD-523,-329.8,-115.2,90,bottom
D72,1N4148,D_SOD-523,-329.7,-134.1,90,bottom
D73,1N4148,D_SOD-523,-215.754,-128.016,180,bottom
J2,Pico-EZmate,Pico-EZmate 4-pin,-204.4,-47.6,180,bottom
J3,MICROMOD-2222-C,SparkFun-MicroMod-M.2-CONNECTOR-E,-211,-85.945195,180,bottom
J5,M2.5 Standoff,Micromod-Standoff,-207.00204,-68.886864,180,bottom
R1,10k,R_0805_2012Metric,-198.8,-122.29,-90,bottom
R2,10k,R_0805_2012Metric,-80.2,-63,-90,bottom
R3,10k,R_0805_2012Metric,-99.2,-63,-90,bottom
R4,10k,R_0805_2012Metric,-118.2,-63,-90,bottom
R5,10k,R_0805_2012Metric,-137.2,-63,-90,bottom
R6,10k,R_0805_2012Metric,-156.2,-63,-90,bottom
R7,10k,R_0805_2012Metric,-175,-63,-90,bottom
R8,10k,R_0805_2012Metric,-251.8,-63.1,-90,bottom
R9,10k,R_0805_2012Metric,-270.8,-63.1,-90,bottom
R10,10k,R_0805_2012Metric,-289.8,-63.1,-90,bottom
R11,10k,R_0805_2012Metric,-308.8,-63.1,-90,bottom
R12,10k,R_0805_2012Metric,-327.8,-62.9125,-90,bottom
R13,10k,R_0805_2012Metric,-343.6,-61.3,-90,bottom
R14,10k,R_0805_2012Metric,-178.6,-118.6,90,bottom
R15,10k,R_0805_2012Metric,-193.2,-126.2,0,bottom
R16,10k,R_0805_2012Metric,-182,-126.4,0,bottom
R17,10k,R_0805_2012Metric,-211.3,-117.19,-90,bottom
R18,10k,R_0805_2012Metric,-212.09,-94.488,0,bottom
R19,10k,R_0805_2012Metric,-201.5,-126.69,180,bottom
R20,10k,R_0805_2012Metric,-218.44,-94.488,0,bottom
U1,74HC164 (SIPO),SOIC-14_3.9x8.7mm_P1.27mm,-204.875,-120.66,180,bottom
U2,74HC165 (PISO),SOIC-16_3.9x9.9mm_P1.27mm,-190.7,-104.3,-90,bottom
U3,74HC165 (PISO),SOIC-16_3.9x9.9mm_P1.27mm,-203.6,-104.3,-90,bottom
U4,AP7361C-33E,SOT-223-3_TabPin2,-188.6,-66,180,bottom
SW1,Switch_1u,Kailh_socket_MX,70.65,-51.8,0,bottom
SW2,Switch_1u,Kailh_socket_MX,70.65,-70.8,0,bottom
SW3,Switch_1u,Kailh_socket_MX,70.65,-89.8,0,bottom
SW4,Switch_1u,Kailh_socket_MX,70.65,-108.8,0,bottom
SW5,Switch_1u,Kailh_socket_MX,70.65,-127.8,0,bottom
SW6,Switch_1u,Kailh_socket_MX,89.65,-51.8,0,bottom
SW7,Switch_1u,Kailh_socket_MX,89.65,-70.8,0,bottom
SW8,Switch_1u,Kailh_socket_MX,89.65,-89.8,0,bottom
SW9,Switch_1u,Kailh_socket_MX,89.65,-108.8,0,bottom
SW10,Switch_1u,Kailh_socket_MX,89.65,-127.8,0,bottom
SW11,Switch_1u,Kailh_socket_MX,108.65,-51.8,0,bottom
SW12,Switch_1u,Kailh_socket_MX,108.65,-70.8,0,bottom
SW13,Switch_1u,Kailh_socket_MX,108.65,-89.8,0,bottom
SW14,Switch_1u,Kailh_socket_MX,108.65,-108.8,0,bottom
SW15,Switch_1u,Kailh_socket_MX,108.65,-127.8,0,bottom
SW16,Switch_1u,Kailh_socket_MX,127.65,-51.8,0,bottom
SW17,Switch_1u,Kailh_socket_MX,127.65,-70.8,0,bottom
SW18,Switch_1u,Kailh_socket_MX,127.65,-89.8,0,bottom
